,File,Input Resistance(v_clamp),Access resistance,-70.0 mV,-60.0 mV,-50.0 mV,-40.0 mV,-30.0 mV,-20.0 mV,-10.0 mV,0.0 mV,10.0 mV,20.0 mV,threshold_index,clipped,threshold_t,threshold_v,threshold_i,peak_index,peak_t,peak_v,peak_i,trough_index,trough_t,trough_v,trough_i,upstroke_index,upstroke,upstroke_t,upstroke_v,downstroke_index,downstroke,downstroke_t,downstroke_v,fast_trough_index,fast_trough_t,fast_trough_v,fast_trough_i,slow_trough_index,slow_trough_t,slow_trough_v,slow_trough_i,width,upstroke_downstroke_ratio,sampling rate,-40.0 pA,-20.0 pA,0.0 pA,20.0 pA,40.0 pA,60.0 pA,80.0 pA,RMP,input resistance (Mo),sag ratio,adapt,latency,isi_cv,mean_isi,median_isi,first_isi,avg_rate,injected current (pA),100.0 pA,120.0 pA,140.0 pA,160.0 pA,180.0 pA,200.0 pA,220.0 pA,240.0 pA,-100.0 pA,-80.0 pA,-60.0 pA,260.0 pA,280.0 pA,time constant (sec),-10.0 pA,10.0 pA,30.0 pA,50.0 pA,70.0 pA,-5.0 pA,5.0 pA,15.0 pA,25.0 pA,35.0 pA,45.0 pA,55.0 pA,65.0 pA,75.0 pA,85.0 pA,-50.0 pA,-30.0 pA,90.0 pA,110.0 pA,130.0 pA,150.0 pA,170.0 pA,190.0 pA,210.0 pA,230.0 pA
Q56,2023_04_01_0000.abf,190.5618223239021,17.89855526059014,-7.3242188,3.0517578,-275.26855,-142.82227,12.207031,-2.4414062,-25.634766,1.2207031,-8.544922,-5.493164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q57,2023_04_01_0008.abf,708.8269048390308,18.28036635979086,-15.869141,-2.4414062,-6.713867,-1751.709,-1448.3643,-1203.6133,-957.03125,-714.1113,-490.1123,-256.34766,7535.25,0.0,0.753525,-34.08050537109375,0.0,7564.75,0.756475,27.069091796875,0.0,9125.0,0.9125,-48.828125,0.0,7549.5,45.38595564103837,0.75495,-5.50079345703125,7591.5,-5.508707546777116,0.75915,16.4337158203125,8016.0,0.8016000000000001,-44.6624755859375,0.0,7414.0,0.7414000000000001,-49.306233723958336,0.0,0.010025,8.276302431013553,10000.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,-37.39624,661.0543387276787,0.33172074,0.1451540866458249,1.0772000000000002,0.1451540866458249,0.11195,0.11195,0.0956999999999999,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0587458921850744,,,,,,,,,,,,,,,,,,,,,,,,,
Q58,2023_04_01_0019.abf,311.5093468611137,7.274539967347676,15.869141,-7.3242188,13.427734,-1687.6221,-1184.082,-887.4512,-1401.9775,-1207.2754,-630.49316,-10.986328,4877.0,0.0,0.4877,-36.06160354614258,20.0,4919.0,0.4919,25.76700782775879,20.0,7751.333333333333,0.7751333333333333,-47.40397262573242,13.333333333333334,4889.333333333333,26.958172891698627,0.4889333333333334,-16.55069923400879,4949.333333333333,-6.253439644095376,0.4949333333333333,11.77978515625,5294.0,0.5294,-39.55078125,20.0,5261.5,0.52615,-43.5943603515625,20.0,0.0088333333333333,4.3857746358111385,10000.0,0.0,0.0,0.0,3.0,1.0,1.0,1.0,-51.594543,312.5435965401791,0.058541704,0.4526094781043792,0.0812,0.4526094781043792,0.3334,0.3334,0.1825,3.0,20.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0487549127783797,,,,,,,,,,,,,,,,,,,,,,,,,
Q59,2023_04_01_0028.abf,250.28772460446095,7.423671471883432,-0.61035156,-1.2207031,0.61035156,-2450.5615,-1939.6973,-1986.084,-2138.6719,-1646.1182,-1057.1289,-369.87305,5326.0,0.0,0.5326,-32.1044921875,20.0,5358.5,0.53585,18.4783935546875,20.0,9436.0,0.9436,-50.78125,10.0,5334.0,33.7220487014262,0.5334000000000001,-21.8963623046875,5390.0,-6.178283983628833,0.539,4.638671875,5695.5,0.56955,-39.031982421875,20.0,4345.0,0.4345,-45.10498046875,20.0,0.0080999999999999,5.570088936489343,10000.0,0.0,0.0,0.0,2.0,1.0,1.0,1.0,-55.082703,384.78306361607184,0.07938933,,,,,,,,,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0414488699993935,,,,,,,,,,,,,,,,,,,,,,,,,
Q61,2023_04_01_0034.abf,424.75833923109184,15.188919282152131,3.0517578,0.0,3.6621094,-2105.1025,-1773.6816,-1453.2471,-1129.7607,-826.416,-498.04688,-183.71582,7029.0,0.0,0.7029000000000002,-36.9873046875,0.0,7062.714285714285,0.7062714285714286,22.45657730102539,0.0,7745.0,0.7745,-48.48371124267578,0.0,7044.285714285715,39.45361046985131,0.7044285714285714,-13.554163932800291,7109.142857142857,-4.950152583497578,0.7109142857142857,5.2926201820373535,7449.571428571428,0.7449571428571428,-46.83140182495117,0.0,6540.833333333333,0.6540833333333333,-48.5687255859375,0.0,0.0104428571428571,8.018442750120375,10000.0,0.0,0.0,4.0,7.0,1.0,1.0,0.0,-46.28601,453.4040178571432,0.052775033,0.0989083691696998,1.0693,0.0989083691696998,0.15115,0.15115,0.1361999999999998,0.0,-100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0415968459299431,,,,,,,,,,,,,,,,,,,,,,,,,
Q63,2023_04_01_0041.abf,69.17770583287594,7.682676111989633,1.2207031,-15.258789,-18.920898,-1994.0186,-1537.4756,-1192.627,-837.40234,-422.36328,20.751953,-4.272461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q64,2023_04_01_0047.abf,75.01774624064339,18.16583339714956,9.765625,2.4414062,1.8310547,-1392.2119,-1148.6816,-915.52734,-700.6836,-476.07422,-237.42676,-14.038086,3422.6666666666665,0.0,0.3422666666666667,-33.24381637573242,0.0,3449.0,0.3449,26.11287498474121,0.0,4440.0,0.444,-44.189453125,0.0,3433.333333333333,50.75803258923785,0.3433333333333333,-10.304768562316896,3473.6666666666665,-6.2524879210611575,0.3473666666666666,14.394124031066896,3807.3333333333335,0.3807333333333333,-40.740966796875,0.0,2524.5,0.25245,-44.189453125,0.0,0.0080666666666666,8.15729361876308,10000.0,0.0,0.0,2.0,8.0,5.0,1.0,1.0,-47.72644,453.709193638393,0.04885281,0.0637311703360372,-0.119,0.0637311703360372,0.3452,0.3452,0.3232,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0325951769926852,,,,,,,,,,,,,,,,,,,,,,,,,
Q65,2023_04_01_0055.abf,95.45711709763457,10.912008186800424,-6.713867,-4.8828125,-0.61035156,-1221.3135,-1040.0391,-1046.7529,-1052.8564,-845.3369,-433.95996,-41.503906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Q66,2023_04_01_0059.abf,208.75567553425427,17.426927441835904,4.8828125,4.272461,-5.493164,-2112.4268,-1741.333,-1383.667,-1042.4805,-700.07324,-386.35254,-68.96973,7671.333333333333,0.0,0.7671333333333333,-34.28141403198242,0.0,7704.0,0.7704000000000001,24.30216407775879,0.0,9375.333333333334,0.9375333333333332,-49.957275390625,0.0,7688.0,46.10201927328216,0.7688,-8.585612297058105,7735.333333333333,-4.74645500964059,0.7735333333333333,13.600666999816896,8200.333333333334,0.8200333333333333,-45.79671096801758,0.0,6622.0,0.6622,-49.896240234375,0.0,0.0108333333333333,9.756097009152995,10000.0,0.0,0.0,2.0,5.0,1.0,1.0,1.0,-50.079346,329.4590541294646,0.057899583,0.061666200205243,0.1188,0.061666200205243,0.53595,0.53595,0.5029,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0490078602348786,,,,,,,,,,,,,,,,,,,,,,,,,
Q67,2023_04_01_0066.abf,325.68131421772114,19.6650363502008,7.9345703,-4.8828125,-2.4414062,-1094.3604,-875.24414,-573.73047,-297.85156,-108.03223,-5.493164,-2.4414062,9654.0,0.0,0.9654,-31.341552734375,-100.0,9695.0,0.9695,19.6533203125,-100.0,15664.0,1.5664,-71.71630859375,0.0,9678.0,35.91832042680538,0.9678,-10.31494140625,9725.0,-6.664503129296564,0.9725,4.058837890625,10022.0,1.0022,-41.717529296875,-100.0,,,,,0.0074,5.38949712078484,10000.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,-25.804218,503.4964425223217,-213.4261,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
