,File,Input Resistance(v_clamp),Access resistance,-70.0 mV,-60.0 mV,-50.0 mV,-40.0 mV,-30.0 mV,-20.0 mV,-10.0 mV,0.0 mV,10.0 mV,20.0 mV,threshold_index,clipped,threshold_t,threshold_v,threshold_i,peak_index,peak_t,peak_v,peak_i,trough_index,trough_t,trough_v,trough_i,upstroke_index,upstroke,upstroke_t,upstroke_v,downstroke_index,downstroke,downstroke_t,downstroke_v,fast_trough_index,fast_trough_t,fast_trough_v,fast_trough_i,width,upstroke_downstroke_ratio,sampling rate,-100.0 pA,0.0 pA,100.0 pA,RMP,time constant (sec),input resistance (Mo),sag ratio,50.0 pA,200.0 pA,300.0 pA,-50.0 pA,150.0 pA,250.0 pA,350.0 pA,slow_trough_index,slow_trough_t,slow_trough_v,slow_trough_i,adapt,latency,isi_cv,mean_isi,median_isi,first_isi,avg_rate,injected current (pA),-200.0 pA,-150.0 pA,-300.0 pA,-250.0 pA,20.0 pA,40.0 pA,60.0 pA,80.0 pA,-10.0 pA,-5.0 pA,5.0 pA,10.0 pA,15.0 pA,25.0 pA,30.0 pA,35.0 pA,45.0 pA,55.0 pA,70.0 pA,65.0 pA,75.0 pA,85.0 pA,-80.0 pA,-60.0 pA,-40.0 pA,-20.0 pA,120.0 pA,140.0 pA,160.0 pA,180.0 pA,-400.0 pA,400.0 pA,500.0 pA,600.0 pA,700.0 pA,800.0 pA,900.0 pA,1000.0 pA,-500.0 pA,-1000.0 pA,-900.0 pA,-800.0 pA,-700.0 pA,-600.0 pA,-580.0 pA,-560.0 pA,-540.0 pA,-520.0 pA,-480.0 pA,-460.0 pA,-440.0 pA,-420.0 pA,-380.0 pA,-360.0 pA,-340.0 pA,-320.0 pA,-680.0 pA,-660.0 pA,-640.0 pA,-620.0 pA
m32,23103000.abf,528.9814210568586,11.837828228798289,6.713867,1.2207031,-888.0615,-794.67773,-936.2793,-1762.6953,-1661.9873,-1393.4326,-1090.6982,-731.2012,1293.0,0.0,0.1293,-39.85595703125,50.0,1322.0,0.1322,38.39111328125,50.0,8105.0,0.8105,-51.513671875,0.0,1300.0,42.93493635178518,0.13,-27.435302734375,1333.0,-21.09624432035352,0.1333,20.20263671875,1425.0,0.1425,-41.07666015625,50.0,0.0037,2.0351933595290155,10000.0,0.0,0.0,2.0,-51.046753,0.0399533309123405,311.58447265624994,0.03601266,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m34,23105000.abf,219.9425009287781,25.400840069831283,-166.62598,0.0,-1.2207031,-1.8310547,-1.8310547,-1.8310547,-0.61035156,1.8310547,2.4414062,-0.61035156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m43,23106000.abf,197.71326995030955,16.17027938212818,6.713867,8.544922,-234.375,-247.19238,-203.24707,-114.13574,-24.414062,-1.8310547,-1.8310547,-4.8828125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
m44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n96,23127000.abf,404.6904603824654,13.04086222168361,6.1035156,1.2207031,-1573.4863,-1744.3848,-1474.6094,-1261.5967,-933.8379,-629.27246,-284.42383,-3.0517578,3484.6666666666665,0.0,0.3484666666666666,-42.87211227416992,50.0,3501.6666666666665,0.3501666666666667,45.4559326171875,50.0,4346.0,0.4346,-49.33675003051758,41.66666666666666,3493.5,103.87670451592524,0.34935,-2.9347736835479736,3510.833333333333,-28.069977680310128,0.3510833333333334,26.94193458557129,3591.0,0.3591,-44.92695999145508,50.0,0.0028333333333333,3.681044945521663,10000.0,0.0,0.0,16.0,-57.980347,0.0312062801059073,205.68847656250009,0.04325674,12.0,2.0,2.0,0.0,4.0,2.0,2.0,3384.4,0.33844,-47.54638671875,50.0,0.0590304589706125,0.034,0.1792326771353345,0.08652,0.0839999999999999,0.0707,12.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n97,23127016.abf,154.37047984586584,12.459977457483715,-18.310547,-1538.0859,-5833.13,-5219.7266,-4567.871,-3873.9014,-3220.2148,-2529.9072,-1846.9238,-1146.2402,3843.3333333333335,0.0,0.3843333333333333,-43.80967712402344,44.44444444444444,3863.1111111111113,0.3863111111111111,41.54459762573242,44.44444444444444,4232.222222222223,0.4232222222222222,-49.83181381225586,38.888888888888886,3855.777777777778,89.87602663381767,0.3855777777777778,3.404405355453491,3872.0,-28.657339084554067,0.3872000000000001,22.705078125,3947.555555555556,0.3947555555555555,-47.149658203125,44.44444444444444,0.0026999999999999,3.1262315659364184,10000.0,0.0,0.0,16.0,-54.614258,0.0299400811160047,236.2060546874998,0.046235636,16.0,2.0,0.0,0.0,2.0,0.0,0.0,3610.125,0.3610125,-49.373626708984375,43.75,0.1250451321490487,0.0026,0.909589265316466,0.095,0.0636499999999999,0.0448,16.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n98,23127026.abf,178.8483224083222,14.853399302841805,-32.958984,-4206.543,-3790.8936,-3228.1494,-2703.8574,-2313.8428,-1850.5859,-1361.6943,-880.7373,-392.45605,5687.833333333333,0.0,0.5687833333333333,-43.7774658203125,0.0,5730.166666666667,0.5730166666666666,19.775390625,0.0,6145.333333333333,0.6145333333333334,-48.29915237426758,0.0,5720.0,31.116571796567523,0.572,-0.1068115234375,5743.0,-21.07355521070301,0.5743,1.3020833730697632,5825.166666666667,0.5825166666666667,-45.7611083984375,0.0,0.0035833333333333,1.4817788999220658,10000.0,0.0,6.0,0.0,-46.07544,,202.63671874999983,0.020318244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5442.6,0.5442600000000001,-48.32763671875,0.0,0.2356322556753591,0.5049,0.4942864453291487,0.1225333333333333,0.0830999999999999,0.0764,0.0,-50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
n99,23127029.abf,143.1245826894021,16.439781497784093,7.3242188,0.61035156,-819.0918,-751.3428,-1021.7285,-1036.9873,-892.94434,-669.55566,-341.79688,-20.751953,5691.1,0.0,0.56911,-36.285400390625,-10.0,5710.8,0.57108,31.805419921875,-10.0,5974.4,0.5974400000000001,-39.7796630859375,-15.0,5702.4,58.13934637990354,0.57024,0.7904052734375,5721.0,-19.60624988577232,0.5721,17.205810546875,5811.9,0.58119,-37.0513916015625,-10.0,0.0030899999999999,2.9555907403800457,10000.0,0.0,16.0,0.0,-35.855103,,130.92041015625009,0.118464395,22.0,0.0,0.0,4.0,0.0,0.0,0.0,5592.111111111111,0.5592111111111112,-39.950900607638886,-16.666666666666668,0.0128336003157603,-0.1095999999999999,0.2190737699202884,0.0597,0.0576,0.0571,16.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o3,23128000.abf,42.56165283163049,15.362339370595894,2.4414062,7.3242188,-8.544922,-1.8310547,4.8828125,-4.8828125,2.4414062,-9.765625,10.986328,26.245117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o4,23128003.abf,106.8243955425879,18.30910434922861,-8.544922,-20.751953,-1.8310547,9.155273,-6.1035156,-1.8310547,-1.2207031,-1.2207031,-0.61035156,-1.2207031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
